ID da composição;Descrição da composição SKU FILHO;Código da composição SKU FILHO;ID do componente;Descrição do componente SKU PAI;Código do componente SKU PAI;Quantidade Unidades Kit
16230998204;Capa Cadeira Suede Confort Plus - Chocolate Kit 4;CD1343-4CH3;16206269318;Capa para Cadeira Protex Max Suede - Chocolate;CD1343;4
16206269324;Capa Cadeira Suede Confort Plus - Chocolate Kit 6;CD1343-6;16206269318;Capa para Cadeira Protex Max Suede - Chocolate;CD1343;6
16230998205;Capa Cadeira Suede Confort Plus - Chocolate Kit 6;CD1343-6CH1;16206269318;Capa para Cadeira Protex Max Suede - Chocolate;CD1343;6
16230998206;Capa Cadeira Suede Confort Plus - Chocolate Kit 6;CD1343-6CH2;16206269318;Capa para Cadeira Protex Max Suede - Chocolate;CD1343;6
16230998207;Capa Cadeira Suede Confort Plus - Chocolate Kit 6;CD1343-6CH3;16206269318;Capa para Cadeira Protex Max Suede - Chocolate;CD1343;6
16206269325;Capa Cadeira Suede Confort Plus - Chocolate Kit 8;CD1343-8;16206269318;Capa para Cadeira Protex Max Suede - Chocolate;CD1343;8
16230998208;Capa Cadeira Suede Confort Plus - Chocolate Kit 8;CD1343-8CH1;16206269318;Capa para Cadeira Protex Max Suede - Chocolate;CD1343;8
16230998210;Capa Cadeira Suede Confort Plus - Chocolate Kit 8;CD1343-8CH2;16206269318;Capa para Cadeira Protex Max Suede - Chocolate;CD1343;8
16230998211;Capa Cadeira Suede Confort Plus - Chocolate Kit 8;CD1343-8CH3;16206269318;Capa para Cadeira Protex Max Suede - Chocolate;CD1343;8
16230998218;Capa Cadeira Suede Confort Plus - Cinza Claro;CD1344CH1;16206269328;Capa para Cadeira Protex Max Suede - Cinza Claro;CD1344;1
16230998219;Capa Cadeira Suede Confort Plus - Cinza Claro;CD1344CH2;16206269328;Capa para Cadeira Protex Max Suede - Cinza Claro;CD1344;1
16230998220;Capa Cadeira Suede Confort Plus - Cinza Claro;CD1344CH3;16206269328;Capa para Cadeira Protex Max Suede - Cinza Claro;CD1344;1
16206269334;Capa Cadeira Suede Confort Plus - Cinza Claro Kit 10;CD1344-10;16206269328;Capa para Cadeira Protex Max Suede - Cinza Claro;CD1344;10
16230998237;Capa Cadeira Suede Confort Plus - Cinza Claro Kit 10;CD1344-10CH1;16206269328;Capa para Cadeira Protex Max Suede - Cinza Claro;CD1344;10
16230998238;Capa Cadeira Suede Confort Plus - Cinza Claro Kit 10;CD1344-10CH2;16206269328;Capa para Cadeira Protex Max Suede - Cinza Claro;CD1344;10
16230998239;Capa Cadeira Suede Confort Plus - Cinza Claro Kit 10;CD1344-10CH3;16206269328;Capa para Cadeira Protex Max Suede - Cinza Claro;CD1344;10
16206558265;Capa Cadeira Suede Confort Plus - Cinza Claro Kit 12;CD1344-12;16206269328;Capa para Cadeira Protex Max Suede - Cinza Claro;CD1344;12
16230998240;Capa Cadeira Suede Confort Plus - Cinza Claro Kit 12;CD1344-12CH1;16206269328;Capa para Cadeira Protex Max Suede - Cinza Claro;CD1344;12
16230998241;Capa Cadeira Suede Confort Plus - Cinza Claro Kit 12;CD1344-12CH2;16206269328;Capa para Cadeira Protex Max Suede - Cinza Claro;CD1344;12
16230998242;Capa Cadeira Suede Confort Plus - Cinza Claro Kit 12;CD1344-12CH3;16206269328;Capa para Cadeira Protex Max Suede - Cinza Claro;CD1344;12
16206269329;Capa Cadeira Suede Confort Plus - Cinza Claro Kit 2;CD1344-2;16206269328;Capa para Cadeira Protex Max Suede - Cinza Claro;CD1344;2
16230998221;Capa Cadeira Suede Confort Plus - Cinza Claro Kit 2;CD1344-2CH1;16206269328;Capa para Cadeira Protex Max Suede - Cinza Claro;CD1344;2
16230998222;Capa Cadeira Suede Confort Plus - Cinza Claro Kit 2;CD1344-2CH2;16206269328;Capa para Cadeira Protex Max Suede - Cinza Claro;CD1344;2
16230998223;Capa Cadeira Suede Confort Plus - Cinza Claro Kit 2;CD1344-2CH3;16206269328;Capa para Cadeira Protex Max Suede - Cinza Claro;CD1344;2
16206269330;Capa Cadeira Suede Confort Plus - Cinza Claro Kit 3;CD1344-3;16206269328;Capa para Cadeira Protex Max Suede - Cinza Claro;CD1344;3
16230998224;Capa Cadeira Suede Confort Plus - Cinza Claro Kit 3;CD1344-3CH1;16206269328;Capa para Cadeira Protex Max Suede - Cinza Claro;CD1344;3
16230998226;Capa Cadeira Suede Confort Plus - Cinza Claro Kit 3;CD1344-3CH2;16206269328;Capa para Cadeira Protex Max Suede - Cinza Claro;CD1344;3
